date,temperature,precipitation
2019-11-19,25.1,0.0
2019-11-20,24.2,0.0
2019-11-21,22.1,0.0
2019-11-22,20.5,0.0
2019-11-23,18.1,0.0
2019-11-24,16.7,0.0
2019-11-25,15.2,5.6
2019-11-26,16.6,0.0
2019-11-27,20.3,0.0
2019-11-28,21.0,0.0
2019-11-29,18.9,0.0
2019-11-30,22.7,0.0
2019-12-01,22.5,0.0
2019-12-02,20.7,0.0
2019-12-03,21.9,0.0
2019-12-04,21.5,0.0
2019-12-05,24.1,0.0
2019-12-06,20.7,0.0
2019-12-07,18.2,0.0
2019-12-08,19.5,0.0
2019-12-09,19.7,0.0
2019-12-10,19.3,0.0
2019-12-11,20.0,0.0
2019-12-12,24.5,0.0
2019-12-13,22.9,0.0
2019-12-14,19.4,0.4
2019-12-15,20.3,0.0
2019-12-16,21.7,0.0
2019-12-17,23.9,0.0
2019-12-18,24.1,0.0
2019-12-19,21.4,0.0
2019-12-20,21.5,0.0
2019-12-21,24.0,0.0
2019-12-22,24.6,0.0
2019-12-23,26.3,0.0
2019-12-24,22.2,0.0
2019-12-25,21.6,0.0
2019-12-26,22.6,0.0
2019-12-27,23.6,0.0
2019-12-28,24.7,0.0
2019-12-29,24.5,0.0
2019-12-30,24.1,0.0
2019-12-31,24.8,0.0
2020-01-01,22.6,0.0
2020-01-02,21.2,0.0
2020-01-03,21.5,0.0
2020-01-04,23.3,0.0
2020-01-05,19.2,0.0
2020-01-06,19.2,0.0
2020-01-07,21.3,0.0
2020-01-08,18.7,0.0
2020-01-09,20.0,0.0
2020-01-10,22.9,0.0
2020-01-11,23.9,0.0
2020-01-12,23.6,0.0
2020-01-13,22.9,0.0
2020-01-14,23.8,0.0
2020-01-15,24.3,0.0
2020-01-16,25.6,0.0
2020-01-17,24.3,0.0
2020-01-18,24.6,0.0
2020-01-19,22.2,0.0
2020-01-20,23.1,0.0
2020-01-21,24.0,0.0
2020-01-22,22.4,0.0
2020-01-23,22.5,0.0
2020-01-24,23.4,0.0
2020-01-25,25.1,0.0
2020-01-26,25.4,0.0
2020-01-27,25.7,0.0
2020-01-28,23.9,0.0
2020-01-29,21.5,0.0
2020-01-30,23.6,0.0
2020-01-31,24.0,0.0
2020-02-01,23.3,0.0
2020-02-02,23.7,0.0
2020-02-03,22.4,0.0
2020-02-04,20.5,0.0
2020-02-05,19.4,0.0
2020-02-06,19.6,0.0
2020-02-07,22.6,0.0
2020-02-08,24.8,0.0
2020-02-09,23.3,0.0
2020-02-10,23.2,0.0
2020-02-11,23.2,0.0
2020-02-12,22.0,0.0
2020-02-13,22.0,0.0
2020-02-14,23.8,0.0
2020-02-15,24.1,0.0
2020-02-16,22.0,0.0
2020-02-17,20.2,0.0
2020-02-18,25.0,0.0
2020-02-19,24.5,0.0
2020-02-20,24.1,0.0
2020-02-21,20.4,0.0
